2023-05-18 16:01:22,030 [19] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements- 40QM894.xlsx, type=bom, file_variation=2
2023-05-18 16:01:22,036 [19] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:01:22,038 [19] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements- 40QM894.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:01:22,108 [19] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:03:35,568 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:03:35,569 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:03:35,586 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements - 40BM805.xlsx, type=bom, file_variation=2
2023-05-18 16:03:35,592 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:03:35,594 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements - 40BM805.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:03:35,641 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:03:47,394 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:03:47,394 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:03:47,414 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements- 40QM894.xlsx, type=bom, file_variation=2
2023-05-18 16:03:47,420 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:03:47,422 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements- 40QM894.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:03:47,482 [18] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:14:15,100 [39] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:14:15,101 [39] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:14:15,184 [39] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QM230 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 16:14:15,194 [39] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:14:15,197 [39] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QM230 - CKNA.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:14:15,227 [39] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:17:17,124 [7] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:17:17,163 [7] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:17:17,331 [7] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QC812 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 16:17:17,360 [7] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:17:17,362 [7] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QC812 - CKNA.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:17:17,404 [7] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:18:20,699 [24] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:18:20,700 [24] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:18:20,783 [24] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QM230 - CKNA.xlsx, type=bom, file_variation=2
2023-05-18 16:18:20,787 [24] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:18:20,787 [24] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40QM230 - CKNA.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:18:20,823 [24] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:20:43,840 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:20:43,840 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:20:43,857 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements 40BM805.xlsx, type=bom, file_variation=2
2023-05-18 16:20:43,860 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - arrangeSubColumns function called with labdipChartModelList=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel]
2023-05-18 16:20:43,860 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=PVH Placements 40BM805.xlsx, type=line_matrix, file_variation=2
2023-05-18 16:20:43,874 [30] (null) INFO  - BrandixAutomation.Labdip.API.Program - splitTransformData function called with labdipChartModel=System.Collections.Generic.List`1[BrandixAutomation.Labdip.API.Models.LabdipChartModel], file_variation=2
2023-05-18 16:24:15,593 [35] (null) INFO  - BrandixAutomation.Labdip.API.Program - GetLabdipChartData function called with response_files=Microsoft.AspNetCore.Http.FormFileCollection, keys=System.Collections.Generic.Dictionary`2+KeyCollection[System.String,Microsoft.Extensions.Primitives.StringValues]
2023-05-18 16:24:15,593 [35] (null) INFO  - BrandixAutomation.Labdip.API.Program - ProcessLabdipChartDataExcel function called with tech_pack=Microsoft.AspNetCore.Http.FormFile, linematrix=Microsoft.AspNetCore.Http.FormFile, file_variation=2
2023-05-18 16:24:15,617 [35] (null) INFO  - BrandixAutomation.Labdip.API.Program - processFileData function called with filename=40HM265 - CKNA.xlsx, type=bom, file_variation=2
